filename,fold,target,category,esc10,src_file,take
2-103426-A-3.wav,2,3,cow,False,103426,A
2-103427-A-3.wav,2,3,cow,False,103427,A
2-103428-A-3.wav,2,3,cow,False,103428,A
2-104105-A-19.wav,2,19,thunderstorm,False,104105,A
2-104105-B-19.wav,2,19,thunderstorm,False,104105,B
2-104168-A-32.wav,2,32,keyboard_typing,False,104168,A
2-104475-A-37.wav,2,37,clock_alarm,False,104475,A
2-104476-A-37.wav,2,37,clock_alarm,False,104476,A
2-104877-A-3.wav,2,3,cow,False,104877,A
2-104952-A-16.wav,2,16,wind,False,104952,A
2-104952-B-16.wav,2,16,wind,False,104952,B
5-198411-E-20.wav,5,20,crying_baby,True,198411,E
